variable,porcentaje_na
edu_grado_max,82.1
agua_potable,13.71
agua_acceso,13.71
edu_año_max,6.47
seguro_essalud,0.03
seguro_sis,0.03
seguro_ffa_pnp,0.03
seguro_privado,0.03
seguro_entidad,0.03
seguro_universitario,0.03
seguro_escolar,0.03
seguro_otro,0.03
año,0
mes,0
conglome,0
vivienda,0
hogar,0
codperso,0
estrato,0
factor_07,0
agua_procedencia,0
desague_tipo,0
electricidad,0
lampara,0
vela,0
generador,0
alumbrado,0
sin_alumbrado,0
edu_nivel_max,0
p801_1,0
p801_2,0
p801_3,0
p801_4,0
p801_5,0
p801_6,0
p801_7,0
p801_8,0
p801_9,0
p801_10,0
p801_11,0
p801_12,0
p801_13,0
p801_14,0
p801_15,0
p801_16,0
p801_17,0
p801_20,0
p801_18,0
p801_19,0
